,name,brand,model,year,age,km_driven,torque_Nm,max_power_bhp,mileage_kmpl,selling_price,seller_type,owner,seats,engine,transmission,fuel,mileage,torque,dumpName
0,Audi A3 35 TDI Premium Plus,Audi,A3,2017,4,70000,320.0,143.0,20.38,2600000,Individual,First,5,1968 CC,Automatic,Diesel,20.38 kmpl,320Nm@ 1750-3000rpm,35 TDI Premium Plus
1,Audi A3 40 TFSI Premium,Audi,A3,2017,4,8000,250.0,177.5,16.6,1689999,Dealer,First,5,1798 CC,Automatic,Petrol,16.6 kmpl,250Nm@ 1250-5000rpm,40 TFSI Premium
2,Audi A3 35 TDI Premium Plus,Audi,A3,2018,3,20000,320.0,143.0,20.38,3000000,Individual,First,5,1968 CC,Automatic,Diesel,20.38 kmpl,320Nm@ 1750-3000rpm,35 TDI Premium Plus
3,Audi A4 1.8 TFSI,Audi,A4,2010,11,55000,215.7463,163.2,12.3,730000,Individual,Second,5,1781 CC,Automatic,Petrol,12.3 kmpl,"22.9@ 1,950-4,700(kgm@ rpm)",1.8 TFSI
4,Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,A4,2013,8,110000,380.0,174.33,17.11,1200000,Individual,First,5,1968 CC,Automatic,Diesel,17.11 kmpl,380Nm@ 1750-2500rpm,2.0 TDI 177 Bhp Premium Plus
5,Audi A4 2.0 TDI,Audi,A4,2014,7,44000,320.0,147.51,16.55,1600000,Individual,Second,5,1968 CC,Automatic,Diesel,16.55 kmpl,320Nm@ 1750-2500rpm,2.0 TDI
6,Audi A4 2.0 TDI,Audi,A4,2014,7,60000,320.0,147.51,16.55,1500000,Individual,First,5,1968 CC,Automatic,Diesel,16.55 kmpl,320Nm@ 1750-2500rpm,2.0 TDI
7,Audi A4 35 TDI Premium Plus,Audi,A4,2015,6,37000,400.0,187.74,18.25,1750000,Dealer,First,5,1968 CC,Automatic,Diesel,18.25 kmpl,400Nm@ 1750-3000rpm,35 TDI Premium Plus
8,Audi A4 35 TDI Premium Plus,Audi,A4,2016,5,46000,400.0,187.74,18.25,1898999,Dealer,First,5,1968 CC,Automatic,Diesel,18.25 kmpl,400Nm@ 1750-3000rpm,35 TDI Premium Plus
9,Audi A4 35 TDI Premium Plus,Audi,A4,2016,5,30000,400.0,187.74,18.25,2450000,Dealer,First,5,1968 CC,Automatic,Diesel,18.25 kmpl,400Nm@ 1750-3000rpm,35 TDI Premium Plus
10,Audi A4 35 TDI Premium Plus,Audi,A4,2018,3,15000,400.0,187.74,18.25,2900000,Dealer,First,5,1968 CC,Automatic,Diesel,18.25 kmpl,400Nm@ 1750-3000rpm,35 TDI Premium Plus
11,Audi A6 2.0 TDI Technology,Audi,A6,2013,8,33900,380.0,174.33,17.68,1750000,Dealer,Second,5,1968 CC,Automatic,Diesel,17.68 kmpl,380Nm@ 1750-2500rpm,2.0 TDI Technology
12,Audi A6 2.0 TDI  Design Edition,Audi,A6,2013,8,50000,400.0,187.74,18.53,1689999,Dealer,First,5,1968 CC,Automatic,Diesel,18.53 kmpl,400Nm@ 1750-3000rpm,2.0 TDI  Design Edition
13,Audi A6 2.0 TDI Premium Plus,Audi,A6,2013,8,35000,380.0,174.33,17.68,2000000,Individual,Second,5,1968 CC,Automatic,Diesel,17.68 kmpl,380Nm@ 1750-2500rpm,2.0 TDI Premium Plus
14,Audi A6 2.0 TDI,Audi,A6,2014,7,60000,380.0,174.33,17.68,2200000,Individual,First,5,1968 CC,Automatic,Diesel,17.68 kmpl,380Nm@ 1750-2500rpm,2.0 TDI
15,Audi Q3 2.0 TDI Quattro Premium Plus,Audi,Q3,2014,7,230000,380.0,174.33,15.73,1200000,Individual,First,5,1968 CC,Automatic,Diesel,15.73 kmpl,380Nm@ 1750-2500rpm,2.0 TDI Quattro Premium Plus
16,Audi Q3 2.0 TDI Quattro Premium Plus,Audi,Q3,2016,5,30000,380.0,174.33,15.73,2375000,Dealer,First,5,1968 CC,Automatic,Diesel,15.73 kmpl,380Nm@ 1750-2500rpm,2.0 TDI Quattro Premium Plus
17,Audi Q3 2.0 TDI Quattro Premium Plus,Audi,Q3,2017,4,22000,380.0,174.33,15.73,2825000,Dealer,First,5,1968 CC,Automatic,Diesel,15.73 kmpl,380Nm@ 1750-2500rpm,2.0 TDI Quattro Premium Plus
18,Audi Q3 2.0 TDI Quattro Premium Plus,Audi,Q3,2017,4,22000,380.0,174.33,15.73,2825000,Dealer,First,5,1968 CC,Automatic,Diesel,15.73 kmpl,380Nm@ 1750-2500rpm,2.0 TDI Quattro Premium Plus
19,Audi Q3 35 TDI Quattro Premium Plus,Audi,Q3,2018,3,26000,380.0,174.33,15.73,2800000,Dealer,First,5,1968 CC,Automatic,Diesel,15.73 kmpl,380Nm@ 1750-2500rpm,35 TDI Quattro Premium Plus
20,Audi Q3 35 TDI Quattro Technology,Audi,Q3,2018,3,25000,380.0,181.0,15.17,2200000,Individual,Second,5,1968 CC,Automatic,Diesel,15.17 kmpl,380Nm@ 1750-3000rpm,35 TDI Quattro Technology
21,Audi Q5 2.0 TDI,Audi,Q5,2011,10,120000,350.0,167.6,12.8,1300000,Individual,First,5,1968 CC,Automatic,Diesel,12.8 kmpl,350Nm@ 1750-2500rpm,2.0 TDI
22,Audi Q5 3.0 TDI Quattro,Audi,Q5,2014,7,76131,580.0,241.4,13.22,1850000,Individual,First,5,2967 CC,Automatic,Diesel,13.22 kmpl,580Nm@ 1400-3250rpm,3.0 TDI Quattro
23,Audi Q5 3.0 TDI Quattro,Audi,Q5,2014,7,76131,580.0,241.4,13.22,1850000,Individual,First,5,2967 CC,Automatic,Diesel,13.22 kmpl,580Nm@ 1400-3250rpm,3.0 TDI Quattro
24,Audi Q5 45 TDI quattro Technology,Audi,Q5,2015,6,105000,580.0,241.4,13.22,2700000,Dealer,Second,5,2967 CC,Automatic,Diesel,13.22 kmpl,580Nm@ 1400-3250rpm,45 TDI quattro Technology
25,Audi Q5 35TDI Premium Plus,Audi,Q5,2018,3,31800,400.0,188.0,17.01,3975000,Dealer,First,5,1968 CC,Automatic,Diesel,17.01 kmpl,400nm@ 1750-3000rpm,35TDI Premium Plus
