,selling_price,age,km_driven,torque_Nm,max_power_bhp,mileage_kmpl,brand_type_2,seller_Individual,owner_Second,owner_Third_or_Above,transmission_Manual,fuel_Gas,fuel_Petrol
0,2600000,4,70000,320.0,143.0,20.38,1,1,0,0,0,0,0
1,1689999,4,8000,250.0,177.5,16.6,1,0,0,0,0,0,1
2,3000000,3,20000,320.0,143.0,20.38,1,1,0,0,0,0,0
3,730000,11,55000,215.7463,163.2,12.3,1,1,1,0,0,0,1
4,1200000,8,110000,380.0,174.33,17.11,1,1,0,0,0,0,0
5,1600000,7,44000,320.0,147.51,16.55,1,1,1,0,0,0,0
6,1500000,7,60000,320.0,147.51,16.55,1,1,0,0,0,0,0
7,1750000,6,37000,400.0,187.74,18.25,1,0,0,0,0,0,0
8,1898999,5,46000,400.0,187.74,18.25,1,0,0,0,0,0,0
9,2450000,5,30000,400.0,187.74,18.25,1,0,0,0,0,0,0
10,2900000,3,15000,400.0,187.74,18.25,1,0,0,0,0,0,0
11,1750000,8,33900,380.0,174.33,17.68,1,0,1,0,0,0,0
12,1689999,8,50000,400.0,187.74,18.53,1,0,0,0,0,0,0
13,2000000,8,35000,380.0,174.33,17.68,1,1,1,0,0,0,0
14,2200000,7,60000,380.0,174.33,17.68,1,1,0,0,0,0,0
15,1200000,7,230000,380.0,174.33,15.73,1,1,0,0,0,0,0
16,2375000,5,30000,380.0,174.33,15.73,1,0,0,0,0,0,0
17,2825000,4,22000,380.0,174.33,15.73,1,0,0,0,0,0,0
18,2825000,4,22000,380.0,174.33,15.73,1,0,0,0,0,0,0
19,2800000,3,26000,380.0,174.33,15.73,1,0,0,0,0,0,0
20,2200000,3,25000,380.0,181.0,15.17,1,1,1,0,0,0,0
21,1300000,10,120000,350.0,167.6,12.8,1,1,0,0,0,0,0
22,1850000,7,76131,580.0,241.4,13.22,1,1,0,0,0,0,0
23,1850000,7,76131,580.0,241.4,13.22,1,1,0,0,0,0,0
24,2700000,6,105000,580.0,241.4,13.22,1,0,1,0,0,0,0
25,3975000,3,31800,400.0,188.0,17.01,1,0,0,0,0,0,0
26,3975000,3,31800,400.0,188.0,17.01,1,0,0,0,0,0,0
27,3975000,3,31800,400.0,188.0,17.01,1,0,0,0,0,0,0
28,3975000,3,31800,400.0,188.0,17.01,1,0,0,0,0,0,0
29,3975000,3,31800,400.0,188.0,17.01,1,0,0,0,0,0,0
30,3975000,3,31800,400.0,188.0,17.01,1,0,0,0,0,0,0
31,810000,12,98000,550.0,241.4,12.07,1,1,0,1,0,0,0
32,1025000,12,120000,550.0,241.4,12.07,1,1,0,1,0,0,0
33,1750000,11,110000,550.0,241.4,12.07,1,1,1,0,0,0,0
34,1850000,9,70000,550.0,241.4,12.07,1,1,0,0,0,0,0
35,3000000,7,65000,550.0,241.4,12.07,1,1,0,0,0,0,0
36,2650000,6,53000,550.0,241.4,12.07,1,0,0,0,0,0,0
37,480000,14,110000,380.0,181.0,16.07,1,1,0,1,0,0,0
38,1100000,12,60000,380.0,181.0,16.07,1,1,1,0,0,0,0
39,1100000,11,102000,400.0,187.74,19.62,1,0,0,0,0,0,0
40,1500000,10,84925,380.0,181.0,16.07,1,1,0,0,0,0,0
41,1300000,9,140000,380.0,184.0,18.88,1,1,1,0,0,0,0
42,1300000,9,140000,380.0,184.0,18.88,1,1,1,0,0,0,0
43,1100000,9,80000,380.0,181.0,16.07,1,1,1,0,0,0,0
44,900000,9,155000,380.0,181.0,16.07,1,1,1,0,0,0,0
45,1300000,8,140000,380.0,184.0,18.88,1,1,1,0,0,0,0
46,1300000,8,140000,380.0,184.0,18.88,1,1,1,0,0,0,0
47,1650000,6,74000,380.0,184.0,18.88,1,1,0,0,0,0,0
48,2150000,5,30000,400.0,190.0,22.69,1,0,0,0,0,0,0
49,2150000,5,30000,400.0,190.0,22.69,1,0,0,0,0,0,0
50,3200000,4,13663,400.0,190.0,22.69,1,0,0,0,0,0,0
51,2600000,4,44000,400.0,190.0,22.69,1,0,0,0,0,0,0
52,2950000,4,39000,380.0,187.74,19.59,1,0,0,0,0,0,0
53,2600000,4,44000,400.0,190.0,22.69,1,0,0,0,0,0,0
54,2950000,4,39000,380.0,187.74,19.59,1,0,0,0,0,0,0
